Name of our product,Price,Link
Ноутбук Asus ZenBook 13 UX325EA Intel Core i7-1165G7 16GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серый,106090 сом,https://www.kivano.kg//images/product/99336/1634180873_42655400.png
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 48GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black,142160 сом,https://www.kivano.kg//images/product/104456/1647658117_10584400.jpg
Ноутбук HP 250 G8 Intel Pentium N5030 16GB DDR4 256GB SSD DOS Silver,37520 сом,https://www.kivano.kg//images/product/104712/1648091080_24250100.png
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Black,69660 сом,https://www.kivano.kg//images/product/104968/1648664898_47302400.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX330 2GB FHD DOS серый,59990 сом,https://www.kivano.kg//images/product/102153/1641272134_01449300.jpg
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black,66580 сом,https://www.kivano.kg//images/product/104969/1648664907_21301300.jpg
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 1000GB HDD + 240GB SSD Intel UHD Graphics 605 HD DOS серый,32300 сом,https://www.kivano.kg//images/product/104714/1648531895_19681700.png
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD DOS Black,37070 сом,https://www.kivano.kg//images/product/104970/1648666662_11396700.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX330 2GB FHD DOS серый,60870 сом,https://www.kivano.kg//images/product/102155/1641272323_33397000.jpg
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 500GB SSD Intel UHD Graphics 605 HD DOS серый,32830 сом-3%31960 сом,https://www.kivano.kg//images/product/104715/1648531875_02654300.png
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS Black,38850 сом,https://www.kivano.kg//images/product/104971/1648666631_26360700.jpg
Ноутбук MSI Pulse GL6 Intel Core i7-11800H 16GB DDR 1000GB SSD Nvidia GeForce RTX 3060 6GB QHD DOS серый,168180 сом-2%164660 сом,https://www.kivano.kg//images/product/99340/1634184470_34375300.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS Black,39020 сом,https://www.kivano.kg//images/product/104972/1648667953_26645900.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black,46340 сом,https://www.kivano.kg//images/product/93965/1623263295_52606600.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серый,64380 сом,https://www.kivano.kg//images/product/102157/1641272525_37853700.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS Black,37070 сом,https://www.kivano.kg//images/product/104973/1648667966_84581400.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black,48540 сом,https://www.kivano.kg//images/product/93966/1623263435_12097200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS Black,38850 сом,https://www.kivano.kg//images/product/104974/1648667980_11199800.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS Black,37960 сом,https://www.kivano.kg//images/product/104975/1648667990_26060800.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS Black,39720 сом,https://www.kivano.kg//images/product/104976/1648668003_61997100.jpg
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black,25130 сом-4%24250 сом,https://www.kivano.kg//images/product/89617/1614854895_76080400.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS Black,41490 сом,https://www.kivano.kg//images/product/104977/1648668014_31252100.jpg
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black,38490 сом,https://www.kivano.kg//images/product/97298/1630900891_88049400.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS Black,38850 сом,https://www.kivano.kg//images/product/104978/1648669591_41651300.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD + 128GB SSD DOS Black,40600 сом,https://www.kivano.kg//images/product/104979/1648669604_91586100.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 256GB SSD DOS Black,39720 сом,https://www.kivano.kg//images/product/104980/1648669614_45502100.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD + 256GB SSD DOS Black,41490 сом,https://www.kivano.kg//images/product/104981/1648669624_39718700.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 1000GB HDD + 128GB SSD DOS Black,39020 сом,https://www.kivano.kg//images/product/104982/1648669634_22596200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 128GB SSD DOS Black,40780 сом,https://www.kivano.kg//images/product/104983/1648669644_23780800.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 128GB SSD Intel HD Graphics FHD DOS серый,33100 сом,https://www.kivano.kg//images/product/102168/1641274810_12240200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,42550 сом,https://www.kivano.kg//images/product/104984/1648669655_36534100.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,33980 сом,https://www.kivano.kg//images/product/102169/1641274894_61032700.jpg
